UPM;VIV_SEL;HOGAR;P2_4;P2_5;P2_6;P2_7;P2_8;P2_9_1;P2_9_2;P2_9_3;P2_9_4;P2_9_5;P2_9_6;P5_2;P5_3;P5_4;P6_1_1;P6_1_2;P6_1_3;P6_1_4;P6_1_5;P6_1_6;P6_1_7;P6_1_8;P6_1_9;P6_1_10;P6_1_11;P6_1_12;P6_1_13;P6_1_14;P6_1_15;P7_1_1;P7_1_2;P7_1_3;P7_1_4;P7_1_5;P7_1_6;P7_1_7;P7_1_8;P7_1_9;P7_1_10;P7_1_11;P7_1_12;P7_1_13;P7_1_14;P7_1_15;P7_1_16;P7_2_1;P7_2_2;P7_2_3;P7_2_4;P7_2_5;P7_2_6;P7_2_7;P7_2_8;P7_2_9;P7_3_1;P7_3_1M;P7_3_2;P7_3_2M;P7_3_3;P7_3_3M;P7_3_4;P7_3_4M;P7_3_5;P7_3_5M;P7_3_6;P7_3_6M;P7_4;P7_5;NUMREN;PA_2;PA_3_1;PA_3_2;P5_1_01;P5_1_02;P5_1_03;P5_1_04;P5_1_05;P5_1_06;P5_1_07;P5_1_08;P5_1_09;P5_1_10;P5_1_11;P5_1_12;P5_1_13;P5_1_14;P5_1_15;P5_1_16;P5_1_17;P5_1_18;P5_1_19;ENT;DOMINIO;REGION;EST_DIS;UPM_DIS;ESTRATO;FAC_HOGAR
06001;05;1;05;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;2;1;2;1;1;1;1;1;1;1;2;1;2;0080;0000;0036;0000;0000;0023;0200;0042;0030;0000;0200;0020;0050;0150;0000;1000;000000;000000;000000;000000;000300;000000;000000;000000;000000;1;999999;2; ;2; ;2; ;2; ;2; ;00; ;02; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;28;1;1;281;06001;3;868
06002;01;1;04;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;2;2;2;1;2;1;1;1;1;1;2;1;2;0100;0080;0024;0068;0030;0016;0160;0261;0020;0000;0000;0054;0025;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;02; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;28;1;1;280;06002;2;942
06002;02;1;04;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;0120;0050;0135;0140;0080;0066;0150;0229;0078;0000;0000;0036;0085;0200;0000;0072;000000;000000;000000;000000;000550;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ;1; ; ; ;28;1;1;280;06002;2;942
06002;03;1;01;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;1;1;2;2;2;1;1;1;1;1;2;1;2;0014;0000;0035;0010;0000;0000;0000;0050;0030;0015;0000;0018;0000;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;28;1;1;280;06002;2;942
06002;04;1;04;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;2;2;2;1;2;2;1;2;1;1;2;1;2;0000;0000;0100;0000;0200;0100;0200;0100;0200;0050;0100;0040;0175;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;28;1;1;280;06002;2;942
06002;05;1;06;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;1;2;1;1;1;1;1;1;1;1;2;1;2;0120;0090;0238;0000;0600;0050;0160;0110;0030;0000;0000;0040;0000;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;28;1;1;280;06002;2;942
06003;01;1;04;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;2;2;1;1;1;1;1;1;1;1;2;1;1;0300;0300;0017;0025;0030;0000;0200;0000;0000;0000;0102;0125;0000;0000;0000;0000;000000;000000;000000;000000;000040;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;01;000000;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;28;1;1;282;06003;4;1063
06003;02;1;02;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;0150;0150;0007;0000;0000;0000;0300;0000;0050;0000;0000;0200;0050;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;02; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;28;1;1;282;06003;4;1063
06003;03;1;01;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;0250;0250;0000;0000;0000;0000;0500;0000;0000;0000;0150;0200;0200;0200;0000;0000;000000;000000;000000;002000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;28;1;1;282;06003;4;1063
06003;04;1;02;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;2;2;2;1;2;2;2;1;1;1;2;2;2;0150;0150;0100;0050;0200;0200;0600;0200;0050;0000;0000;0100;0100;0000;0050;0300;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;02; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;28;1;1;282;06003;4;1063
06003;05;1;04;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1200;0200;0005;0030;0015;0000;0200;0300;0050;0040;0139;0000;0000;0000;0000;0120;000000;000000;000000;010000;000200;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;28;1;1;282;06003;4;1063
06004;02;1;03;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;2;2;1;1;1;1;1;1;1;1;2;1;1;0240;0200;0040;0100;0070;0055;0600;0100;0060;0000;0000;0075;0063;0048;0000;0000;000000;000000;000000;000000;000330;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;02; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;28;1;1;282;06004;4;1005
06004;03;1;01;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;2;2;2;1;1;1;1;1;1;1;2;1;2;0100;0060;0030;0000;0000;0000;0000;0045;0028;0000;0000;0068;0030;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;28;1;1;282;06004;4;1005
06004;04;1;04;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;0200;0200;0080;0080;0050;0070;0400;0100;0040;0000;0120;0060;0025;0000;0000;0000;000000;000000;000000;000000;000600;003500;000000;000000;000000;1;001000;2; ;1;004000;2; ;2; ;2; ;00; ;02; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;28;1;1;282;06004;4;1005
06004;05;1;01;2; ; ;1;1;2;2;2;2;2;2; ; ;1;2;2;1;1;1;1;1;1;1;1;1;2;1;2;0300;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;0120;0000;0000;0000;1300;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;01;005000;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;28;1;1;282;06004;4;1005
06005;01;1;06;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;1;1;2;1;2;2;2;1;1;1;2;2;1;0100;0100;0100;0100;0050;0050;0200;0070;0070;0050;0080;0030;0150;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ;28;1;1;280;06005;2;966
06005;02;1;01;2; ; ;2; ; ; ; ; ; ;2; ; ;2;2;1;2;2;2;2;2;1;2;1;2;1;1;2;0012;0000;0081;0000;0000;0026;0000;0060;0032;0000;0000;0000;0000;0027;0025;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;28;1;1;280;06005;2;966
